"","COUNT","SAMPLE","SCIENTIFIC_NAME","TAXID","estimated_genome_size","confidence_interval_lower","confidence_interval_upper","genome_size_estimation_status","model_used","LCA","species","genus","family","order","class","phylum","clade","superkingdom","no rank","subclass","suborder","subphylum","subkingdom","kingdom","species group","section"
"query_100"," 19","ITS_2","Fusarium tricinctum","  61284",42608373.8,"25524968"," 84227140","OK","reference_mean","61284","61284","5506","110618","5125","147550","4890","33154","2759","1","222543",NA,"147538","451864","4751","679429",NA
"query_101"," 19","ITS_2","Capnobotryella sp. MA 3619"," 447491",22984264.4418932,"12233190"," 34842651","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","447491","447491","62131","668547","2726947","147541","4890","33154","2759","1","451867",NA,"147538","451864","4751",NA,NA
"query_102"," 18","ITS_2","Shiraia bambusicola"," 224420",30870752,"17497438"," 47622751","OK","reference_mean","224420","224420","224419","224418","92860","147541","4890","33154","2759","1","451868",NA,"147538","451864","4751",NA,NA
"query_103"," 18","ITS_2","Dinemasporium pseudostrigosum","1196448",28684680.4728591,"22695642"," 42338215","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1196448","1196448","1196446","103886","261460","147550","4890","33154","2759","1","222544",NA,"147538","451864","4751",NA,NA
"query_104"," 17","ITS_2","Podila","2779937",40053451.2807117,"26574929"," 64107378","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","2779937",NA,"2779937","4854","214503","2212732","1913637","33154","2759","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_105"," 15","ITS_2","Solicoccozyma gelidoterrea","2877759",28684680.4728591,"21230682"," 38060309","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","2877759","2877759","1851575","1851565","90886","155616","5204","33154","2759","1",NA,NA,"5302","451864","4751",NA,NA
"query_106"," 14","ITS_2","Dinemasporium strigosum","1196449",28684680.4728591,"24517569"," 35171177","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1196449","1196449","1196446","103886","261460","147550","4890","33154","2759","1","222544",NA,"147538","451864","4751",NA,NA
"query_107"," 12","ITS_2","Coleophoma ericicola","1849048",28684680.4728591,"26310170"," 35902163","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1849048","1849048","453209","76657","5178","147548","4890","33154","2759","1",NA,NA,"147538","451864","4751",NA,NA
"query_108"," 11","ITS_2","Umbelopsis sp. Mykopat 134","1187152",23074667.9177715," 9919124"," 46171569","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1187152","1187152","64561","1403793","1913639","2212704","1913637","33154","2759","1",NA,NA,"451507",NA,"4751",NA,NA
"query_109"," 11","ITS_2","Clonostachys"," 110564",26619228.309988,"17003896"," 42391239","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","110564",NA,"110564","103887","5125","147550","4890","33154","2759","1","222543",NA,"147538","451864","4751",NA,NA
"query_110","  9","ITS_2","Fontanospora fusiramosa"," 693254",28684680.4728591,"22155897"," 32682112","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","693254","693254","693252","2794838","5178","147548","4890","33154","2759","1",NA,NA,"147538","451864","4751",NA,NA
"query_111","  8","ITS_2","Seltsamia ulmi","2053811",32739141.152079,"28110482"," 91384717","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","2053811","2053811","2065321","221670","92860","147541","4890","33154","2759","1","451868","715340","147538","451864","4751",NA,NA
"query_112","  8","ITS_2","Clonostachys rosea","  29856",57415981.7692308,"19316781"," 45346179","OK","reference_mean","29856","29856","110564","103887","5125","147550","4890","33154","2759","1","222543",NA,"147538","451864","4751",NA,NA
"query_113","  7","ITS_2","Microsphaeropsis arundinis"," 413604",35557722.0119225,"19629400"," 42438324","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","413604","413604","107453","683158","92860","147541","4890","33154","2759","1","451868","715340","147538","451864","4751",NA,NA
"query_114","  7","ITS_2","Hyphodiscus hymeniophilus"," 353542",35160837,"18872892"," 38681948","OK","reference_mean","353542","353542","353541","2907103","5178","147548","4890","33154","2759","1",NA,NA,"147538","451864","4751",NA,NA
"query_115","  7","ITS_2","Ijuhya corynospora","2015267",26619228.309988,"17159012"," 43871857","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","2015267","2015267","426745","103887","5125","147550","4890","33154","2759","1","222543",NA,"147538","451864","4751",NA,NA
"query_116","  6","ITS_2","Phaeomoniella chlamydospora"," 158046",27041983,"24307855"," 39208055","OK","reference_mean","158046","158046","158045","2231493","1618100","147545","4890","33154","2759","1","451870",NA,"147538","451864","4751",NA,NA
"query_117","  6","ITS_2","Rhizophlyctis rosea","  64517",44518006.6666667,"19098377"," 43711763","OK","reference_mean","64517","64517","64515","1396497","642610","451435","4761","33154","2759","1",NA,NA,NA,NA,"4751",NA,NA
"query_118","  5","ITS_2","Bacillicladium lobatum","1909408",27313800.175331,"15708099"," 47030094","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1909408","1909408","1909407","1233474","34395","147545","4890","33154","2759","1","451870",NA,"147538","451864","4751",NA,NA
"query_119","  5","ITS_2","Fraxinicola fraxini"," 470489",28684680.4728591,"27969611"," 49001008","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","470489","470489","2729006","5023","1111111","147541","4890","33154","2759","1","451868",NA,"147538","451864","4751",NA,NA
"query_120","  5","ITS_2","Sarea sp.","2040954",28684680.4728591,"28698271"," 40626187","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","2040954","2040954","273281","2820411","2820409","2820408","4890","33154","2759","1",NA,NA,"147538","451864","4751",NA,NA
"query_121"," 68","ITS_1","Podospora","   5144",34957025.0850845,"14457613"," 83190243","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","5144",NA,"5144","2609812","5139","147550","4890","33154","2759","1","222544",NA,"147538","451864","4751",NA,NA
"query_122"," 34","ITS_1","Podila minutissima","  64525",39166467.5,"26290880"," 71428199","OK","reference_mean","64525","64525","2779937","4854","214503","2212732","1913637","33154","2759","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_123"," 33","ITS_1","Dactylella cylindrospora","1814901",37631996,"21679868"," 86250726","OK","reference_mean","1814901","1814901","47025","47021","189479","189478","4890","33154","2759","1",NA,NA,"147538","451864","4751",NA,NA
"query_124"," 25","ITS_1","Mucor moelleri","1302847",41915281.5477227,"22327876"," 72894166","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1302847","1302847","4830","34489","4827","2212703","1913637","33154","2759","1",NA,"1344963","451507",NA,"4751",NA,NA
"query_125"," 23","ITS_1","Mortierella sp.","1715235",40053451.2807117,"25294048"," 63970531","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1715235","1715235","4855","4854","214503","2212732","1913637","33154","2759","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_126"," 17","ITS_1","Alternaria japonica"," 119919",35451498.250041,"24714462"," 49867889","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","119919","119919","5598","28556","92860","147541","4890","33154","2759","1","451868","715340","147538","451864","4751",NA,"2499259"
"query_127"," 16","ITS_1","Paraconiothyrium sp.","1696682",38690244.7643899,"27184253"," 71179817","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1696682","1696682","300251","221678","92860","147541","4890","33154","2759","1","451868","1255046","147538","451864","4751",NA,NA
"query_128"," 14","ITS_1","Serendipita vermifera"," 109899",35659833,"26633256"," 41710736","OK","reference_mean","109899","109899","358905","1506295","297313","155619","5204","33154","2759","1",NA,NA,"5302","451864","4751",NA,NA
"query_129"," 12","ITS_1","Chaetomium","   5149",33929507.3319802,"25328878"," 45873696","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","5149",NA,"5149","35718","5139","147550","4890","33154","2759","1","222544",NA,"147538","451864","4751",NA,NA
"query_130"," 11","ITS_1","Pragmopora cf. piceae","2653547",28684680.4728591,"32683876"," 55001797","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","2653547","2653547","2576843","2576842","2793949","147548","4890","33154","2759","1",NA,NA,"147538","451864","4751",NA,NA
"query_131"," 10","ITS_1","Coleophoma ericicola","1849048",28684680.4728591,"19098377"," 43711763","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1849048","1849048","453209","76657","5178","147548","4890","33154","2759","1",NA,NA,"147538","451864","4751",NA,NA
"query_132","  9","ITS_1","Neonectria neomacrospora","  78403",37119747,"30357136"," 82796108","OK","reference_mean","78403","78403","140106","110618","5125","147550","4890","33154","2759","1","222543",NA,"147538","451864","4751",NA,NA
"query_133","  9","ITS_1","Digitopodium cannae","2571989",31966282.1190025,"21098276"," 42839914","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","2571989","2571989","2571987","43219","34395","147545","4890","33154","2759","1","451870",NA,"147538","451864","4751",NA,NA
"query_134","  8","ITS_1","Clonostachys"," 110564",26619228.309988,"26117549"," 63954593","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","110564",NA,"110564","103887","5125","147550","4890","33154","2759","1","222543",NA,"147538","451864","4751",NA,NA
"query_135","  8","ITS_1","Saitozyma ninhbinhensis"," 388101",28684680.4728591,"15907086"," 45251097","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","388101","388101","1890244","1890237","5234","155616","5204","33154","2759","1",NA,NA,"5302","451864","4751",NA,NA
"query_136","  6","ITS_1","Entomortierella beljakovae"," 979673",37752271,"28916631"," 69733555","OK","reference_mean","979673","979673","2779859","4854","214503","2212732","1913637","33154","2759","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_137","  6","ITS_1","Articulospora proliferata"," 556895",28684680.4728591,"14474189"," 47797530","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","556895","556895","253308","2794838","5178","147548","4890","33154","2759","1",NA,NA,"147538","451864","4751",NA,NA
"query_138","  6","ITS_1","Fusarium oxysporum","   5507",52804881.8126685,"25524968"," 84227140","OK","reference_mean","5507","5507","5506","110618","5125","147550","4890","33154","2759","1","222543",NA,"147538","451864","4751","171631",NA
"query_139","  5","ITS_1","Ceratobasidium sp. FO 38200"," 386466",40530408.124845,"20890936"," 82071038","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","386466","386466","5251","5250","36064","155619","5204","33154","2759","1",NA,NA,"5302","451864","4751",NA,NA
"query_140","  5","ITS_1","Mycena galopus","  41248",72690109.8189573,"38828182","148399339","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","41248","41248","41247","2024004","5338","155619","5204","33154","2759","1","452333","2982316","5302","451864","4751",NA,NA
"query_141","  5","ITS_1","Dominikia sp.","2011914",143877542.271008,"67984070","301114982","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","2011914","2011914","1548385","36751","36750","214506","1913637","33154","2759","1",NA,NA,"214504",NA,"4751",NA,NA
"query_142","  5","ITS_1","Scutellospora sp.","1931098",28684680.4728591,"19351724"," 41791124","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1931098","1931098","27382","36753","214509","214506","1913637","33154","2759","1",NA,NA,"214504",NA,"4751",NA,NA
"query_143","  5","ITS_1","Sarea sp.","2040954",28684680.4728591,"32683876"," 55001797","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","2040954","2040954","273281","2820411","2820409","2820408","4890","33154","2759","1",NA,NA,"147538","451864","4751",NA,NA
"query_144","  5","ITS_1","Stropharia rugosoannulata","  68746",48751805.6666667,"23224797"," 94561554","OK","reference_mean","68746","68746","68745","40562","5338","155619","5204","33154","2759","1","452333","2982305","5302","451864","4751",NA,NA
"query_145","  4","ITS_1","Orbilia atlantis","1798097",39927936.6553586,"17654987"," 84554472","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1798097","1798097","47022","47021","189479","189478","4890","33154","2759","1",NA,NA,"147538","451864","4751",NA,NA
"query_146","  4","ITS_1","Mortierellaceae","   4854",40053451.2807117,"28660247"," 78173545","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","4854",NA,NA,"4854","214503","2212732","1913637","33154","2759","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_147","  4","ITS_1","Articulospora tetracladia"," 253309",41836098,"15907086"," 45251097","OK","reference_mean","253309","253309","253308","2794838","5178","147548","4890","33154","2759","1",NA,NA,"147538","451864","4751",NA,NA
"query_148","  4","ITS_1","Stagonospora pseudopaludosa","1414640",28684680.4728591,"21230682"," 38060309","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1414640","1414640","54788","290882","92860","147541","4890","33154","2759","1","451868","1255046","147538","451864","4751",NA,NA
"query_149","  4","ITS_1","Allophylaria subliciformis","2478803",28684680.4728591,"24878353"," 39962611","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","2478803","2478803","2478802","2488219","5178","147548","4890","33154","2759","1",NA,NA,"147538","451864","4751",NA,NA
"query_150","  4","ITS_1","Pestalotiopsis mangiferae"," 748176",51234273.0795095,"24983144"," 83266246","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","748176","748176","37840","1812776","37989","147550","4890","33154","2759","1","222545",NA,"147538","451864","4751",NA,NA
"query_151","313","16S_3","Acidobacteriaceae"," 204434",5348487.95550723," 4306256","  8281125","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","204434",NA,NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_152"," 88","16S_3","Bacillaceae"," 186817",3774280.65506554," 2661934","  4634538","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","186817",NA,NA,"186817","1385","91061","1239","1783272","2","1",NA,NA,NA,NA,NA,NA,NA
"query_153"," 79","16S_3","Actinoallomurus sp.","1872127",6436989.5," 7069002"," 13477376","OK","reference_mean","1872127","1872127","667113","2012","85012","1760","201174","1783272","2","1",NA,NA,NA,NA,NA,NA,NA
"query_154"," 78","16S_3","Mycobacterium","   1763",5653672.49118327," 4405674","  7726719","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1763",NA,"1763","1762","85007","1760","201174","1783272","2","1",NA,NA,NA,NA,NA,NA,NA
"query_155"," 74","16S_3","Acidobacteriaceae bacterium","2052142",4004784.32805071," 4306256","  8281125","OK","reference_mean","2052142","2052142",NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_156"," 45","16S_3","Opitutus sp.","1913982",3692303.48387097," 3885817","  6987635","OK","reference_mean","1913982","1913982","178440","134623","415000","414999","74201","1783257","2","1",NA,NA,NA,NA,NA,NA,NA
"query_157"," 36","16S_3","Alloacidobacterium dinghuense","2763107",6271114," 3867442","  6913694","OK","reference_mean","2763107","2763107","2951993","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_158"," 33","16S_3","Blastochloris","  59282",3846233.39459484," 1763076","  7958732","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","59282",NA,"59282","2831090","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_159"," 32","16S_3","bacterium Ellin5058"," 234245",5348487.95550723," 3331622","  6893455","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","234245","234245",NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_160"," 26","16S_3","Terracidiphilus gabretensis","1577687",5345618," 4098751","  7312591","OK","reference_mean","1577687","1577687","1768185","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_161"," 25","16S_3","Gallionella sp.","2052161",2260661.58928571," 2042719","  4829368","OK","reference_mean","2052161","2052161","96","90627","32003","28216","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_162"," 23","16S_3","Syntrophobacter wolinii","  29527",4792482.71626262," 3394103","  6891582","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","29527","29527","29526","213465","213462","3024408","200940",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_163"," 23","16S_3","Paenibacillus sp. 27-9"," 519770",6542320.2083242," 5171089","  7921875","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","519770","519770","44249","186822","1385","91061","1239","1783272","2","1",NA,NA,NA,NA,NA,NA,NA
"query_164"," 23","16S_3","Acidobacteriaceae bacterium LWQ3","1387378",5348487.95550723," 4306256","  8281125","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1387378","1387378",NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_165"," 19","16S_3","unclassified Bradyrhizobium","2631580",8098294.80631165," 6076178"," 10251071","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","2631580",NA,"374","41294","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_166"," 17","16S_3","Rhodoplanes","  29407",4300568.97382752," 3305898","  5695258","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","29407",NA,"29407","45401","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_167"," 15","16S_3","Ktedonobacter sp.","1932716",3676795.77777778," 6233327"," 17902881","OK","reference_mean","1932716","1932716","363276","388449","388448","388447","200795","1783272","2","1",NA,NA,NA,NA,NA,NA,NA
"query_168"," 13","16S_3","Acidobacterium capsulatum","  33075",4549594.79984372," 3437509","  5717547","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","33075","33075","33973","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_169"," 12","16S_3","Sideroxydans"," 314343",3301538.83424299," 2186454","  4782027","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","314343",NA,"314343","90627","32003","28216","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_170"," 12","16S_3","Rhodopila globiformis","   1071",7247838," 4970757","  7586823","OK","reference_mean","1071","1071","1070","433","204441","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_171"," 12","16S_3","Granulicella sp.","1969471",3566997.38709677," 4324545","  6834987","OK","reference_mean","1969471","1969471","940557","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_172"," 11","16S_3","unclassified Rhizomicrobium","2649895",4503218.26874712," 2001340","  8190573","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","2649895",NA,"1241326","1921568","1921567","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_173"," 11","16S_3","bacterium Ellin342"," 204668",5348487.95550723," 3576679","  6315911","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","204668","204668",NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_174"," 11","16S_3","Spirochaeta sp.","  28185",2788768.16666667," 2703514","  4370316","OK","reference_mean","28185","28185","146","137","136","203692","203691",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_175"," 11","16S_3","Rhizomicrobium sp. URHD0049","1703066",4503218.26874712," 2001340","  8190573","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1703066","1703066","1241326","1921568","1921567","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_176"," 10","16S_3","Trebonia kvetii","2480626",9254566," 4003911"," 14723252","OK","reference_mean","2480626","2480626","2767073","2767072","85012","1760","201174","1783272","2","1",NA,NA,NA,NA,NA,NA,NA
"query_177","  9","16S_3","Acidobacteriaceae bacterium KBS 89","1267534",6009792," 5295452","  7977922","OK","reference_mean","1267534","1267534",NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_178","  9","16S_3","Flavitalea sp.","1909289",3975566.5," 5670077","  9943460","OK","reference_mean","1909289","1909289","1210116","563835","1853229","1853228","976","1783270","2","1",NA,NA,NA,NA,NA,NA,NA
"query_179","  8","16S_3","Acidisphaera sp.","1872116",2896360.69565217," 4615220","  7168896","OK","reference_mean","1872116","1872116","50714","433","204441","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_180","  8","16S_3","unclassified Telmatobacter","2634852",5829818.32320584," 4462486","  7952467","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","2634852",NA,"1078829","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
