"","COUNT","SAMPLE","SCIENTIFIC_NAME","TAXID","estimated_genome_size","estimated_genome_size_confidence_interval","genome_size_estimation_status","model_used","LCA","species","genus","family","order","class","phylum","clade","superkingdom","no rank","subphylum","suborder","subclass","subkingdom","kingdom","species group","section","confidence_interval_lower","confidence_interval_upper"
"query...22","  6","16S_2","Aetherobacter"," 888829",6268877.36246068,"3226469.4;10853744","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","888829",NA,"888829","49","29","28221","1224",NA,"2","1","68525","80812",NA,NA,NA,NA,NA," 3226469.4"," 10853744"
"query...23","  5","16S_2","Edaphobacter lichenicola","2051959",5290040.42857143,"835.20986399313","OK","reference_mean","2051959","2051959","388463","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 2807319.3"," 14084841"
"query...24","  5","16S_2","Rhizomicrobium sp. URHD0049","1703066",3323666.00131047,"1264122.1;9329087","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1703066","1703066","1241326","1921568","1921567","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 1264122.1","  9329087"
"query...25","  5","16S_2","Rhodoplanes","  29407",3719098.3795548,"1550695.8;7643380","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","29407",NA,"29407","45401","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 1550695.8","  7643380"
"query...26","  5","16S_2","bacterium Ellin335"," 204678",6268877.36246068,"3805752.8;11736321","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","204678","204678",NA,"1921568","1921567","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3805752.8"," 11736321"
"query...27","  5","16S_2","Flavitalea sp.","1909289",4743522.98453193,"1794008.9;13859048","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1909289","1909289","1210116","563835","1853229","1853228","976","1783270","2","1",NA,NA,NA,NA,NA,NA,NA," 1794008.9"," 13859048"
"query...28","  5","16S_2","Telmatobacter bradus"," 474953",6268877.36246068,"3471396.4;9755078","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","474953","474953","1078829","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3471396.4","  9755078"
"query...29","  5","16S_2","Nevskia","  64001",4428980.13183477,"1885454.3;10101560","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","64001",NA,"64001","568386","1775403","1236","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 1885454.3"," 10101560"
"query...30","  5","16S_2","Streptomyces","   1883",8245187.81581258,"3227212.1;13979479","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1883",NA,"1883","2062","85011","1760","201174","1783272","2","1",NA,NA,NA,NA,NA,NA,NA," 3227212.1"," 13979479"
"query...31","264","16S_1","Acidobacteriaceae bacterium","2052142",6268877.36246068,"3491502.8;11023184","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2052142","2052142",NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3491502.8"," 11023184"
"query...32","182","16S_1","unclassified Granulicella","2621151",4677459.06987119,"1932090.4;10268185","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2621151",NA,"940557","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 1932090.4"," 10268185"
"query...33","161","16S_1","Opitutus sp.","1913982",4963448.79737458,"2001989.8;13231894","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1913982","1913982","178440","134623","415000","414999","74201","1783257","2","1",NA,NA,NA,NA,NA,NA,NA," 2001989.8"," 13231894"
"query...34","116","16S_1","Granulicella sp.","1969471",4677459.06987119,"1932090.4;10268185","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1969471","1969471","940557","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 1932090.4"," 10268185"
"query...35"," 94","16S_1","Geobacter pickeringii"," 345632",3618700,NA,"OK","reference_mean","345632","345632","28231","213422","69541","28221","1224",NA,"2","1","68525",NA,NA,NA,NA,NA,NA," 1561826.9","  8962086"
