"","COUNT","SAMPLE","SCIENTIFIC_NAME","TAXID","estimated_genome_size","confidence_interval_lower","confidence_interval_upper","genome_size_estimation_status","model_used","LCA","species","genus","family","order","class","phylum","superkingdom","clade","no rank","subclass","suborder","subphylum","subkingdom","kingdom","species group","section"
"query_96"," 29","ITS_2","Fonsecaea minima","1367421",34646800.8402097,26623727.2435064,45250695.8157732,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1367421","1367421","40354","43219","34395","147545","4890","2759","33154","1","451870",NA,"147538","451864","4751",NA,NA
"query_97"," 27","ITS_2","Nectria cinnabarina","  29855",48487728.7494728,31857061.8955358,72912528.253248,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","29855","29855","5133","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_98"," 25","ITS_2","Didymella pinodella"," 749633",36115625.125,36114205.4745878,36117044.7754122,"OK","reference_mean","749633","749633","55170","683158","92860","147541","4890","2759","33154","1","451868","715340","147538","451864","4751",NA,NA
"query_99"," 23","ITS_2","Hebeloma crustuliniforme","  34454",48135529.6759535,24737772.7096956,86191197.150791,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","34454","34454","34453","80649","5338","155619","5204","2759","33154","1","452333","2982305","5302","451864","4751",NA,NA
"query_100"," 19","ITS_2","Fusarium tricinctum","  61284",42608373.8,42607082.2137598,42609665.3862402,"OK","reference_mean","61284","61284","5506","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751","679429",NA
"query_101"," 19","ITS_2","Capnobotryella sp. MA 3619"," 447491",24462664.8340745,16590302.5225626,34549343.1024832,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","447491","447491","62131","668547","2726947","147541","4890","2759","33154","1","451867",NA,"147538","451864","4751",NA,NA
"query_102"," 18","ITS_2","Shiraia bambusicola"," 224420",30870752,NA,NA,"OK","reference_mean","224420","224420","224419","224418","92860","147541","4890","2759","33154","1","451868",NA,"147538","451864","4751",NA,NA
"query_103"," 18","ITS_2","Dinemasporium pseudostrigosum","1196448",45054393.4671833,16354038.0585084,102846089.373886,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1196448","1196448","1196446","103886","261460","147550","4890","2759","33154","1","222544",NA,"147538","451864","4751",NA,NA
"query_104"," 17","ITS_2","Podila","2779937",42616941.5649083,22997497.7678552,76543354.4671072,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2779937",NA,"2779937","4854","214503","2212732","1913637","2759","33154","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_105"," 15","ITS_2","Solicoccozyma gelidoterrea","2877759",27281077.1168128,12778730.9423157,53223004.6197842,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2877759","2877759","1851575","1851565","90886","155616","5204","2759","33154","1",NA,NA,"5302","451864","4751",NA,NA
"query_106"," 14","ITS_2","Dinemasporium strigosum","1196449",45821534.9832121,15646548.8572043,109395464.662697,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1196449","1196449","1196446","103886","261460","147550","4890","2759","33154","1","222544",NA,"147538","451864","4751",NA,NA
"query_107"," 12","ITS_2","Coleophoma ericicola","1849048",45303189.3921885,21920734.3328159,79118050.3687312,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1849048","1849048","453209","76657","5178","147548","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_108"," 11","ITS_2","Umbelopsis sp. Mykopat 134","1187152",26079358.1149745,13743587.8178907,49648252.1763812,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1187152","1187152","64561","1403793","1913639","2212704","1913637","2759","33154","1",NA,NA,"451507",NA,"4751",NA,NA
"query_109"," 11","ITS_2","Clonostachys"," 110564",29747545.8559773,18946636.7639467,45355434.6640878,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","110564",NA,"110564","103887","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_110","  9","ITS_2","Fontanospora fusiramosa"," 693254",44981123.9627584,22233569.0611061,84828042.5078977,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","693254","693254","693252","2794838","5178","147548","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_111","  8","ITS_2","Seltsamia ulmi","2053811",35856094.0020104,22535029.606814,54326531.9688762,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2053811","2053811","2065321","221670","92860","147541","4890","2759","33154","1","451868","715340","147538","451864","4751",NA,NA
"query_112","  8","ITS_2","Clonostachys rosea","  29856",57415981.7692308,57413793.4384242,57418170.1000373,"OK","reference_mean","29856","29856","110564","103887","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_113","  7","ITS_2","Microsphaeropsis arundinis"," 413604",36466138.3735671,24612573.1028957,53183694.8425157,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","413604","413604","107453","683158","92860","147541","4890","2759","33154","1","451868","715340","147538","451864","4751",NA,NA
"query_114","  7","ITS_2","Hyphodiscus hymeniophilus"," 353542",35160837,NA,NA,"OK","reference_mean","353542","353542","353541","2907103","5178","147548","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_115","  7","ITS_2","Ijuhya corynospora","2015267",30045839.725264,19134261.5993676,44696041.3356078,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2015267","2015267","426745","103887","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_116","  6","ITS_2","Phaeomoniella chlamydospora"," 158046",27041983,27040663.7729354,27043302.2270646,"OK","reference_mean","158046","158046","158045","2231493","1618100","147545","4890","2759","33154","1","451870",NA,"147538","451864","4751",NA,NA
"query_117","  6","ITS_2","Rhizophlyctis rosea","  64517",44518006.6666667,44514688.925083,44521324.4082503,"OK","reference_mean","64517","64517","64515","1396497","642610","451435","4761","2759","33154","1",NA,NA,NA,NA,"4751",NA,NA
"query_118","  5","ITS_2","Bacillicladium lobatum","1909408",28974085.4442598,17509551.0839576,45447705.7775055,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1909408","1909408","1909407","1233474","34395","147545","4890","2759","33154","1","451870",NA,"147538","451864","4751",NA,NA
"query_119","  5","ITS_2","Fraxinicola fraxini"," 470489",33942320.8274626,17353282.3010413,63557687.9070458,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","470489","470489","2729006","5023","1111111","147541","4890","2759","33154","1","451868",NA,"147538","451864","4751",NA,NA
"query_120","  5","ITS_2","Sarea sp.","2040954",40687877.2464402,6151050.25746513,144944483.933716,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2040954","2040954","273281","2820411","2820409","2820408","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_121"," 68","ITS_1","Podospora","   5144",35242915.2405422,28366868.855215,43513095.4191182,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","5144",NA,"5144","2609812","5139","147550","4890","2759","33154","1","222544",NA,"147538","451864","4751",NA,NA
"query_122"," 34","ITS_1","Podila minutissima","  64525",39166467.5,39165626.9467389,39167308.0532611,"OK","reference_mean","64525","64525","2779937","4854","214503","2212732","1913637","2759","33154","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_123"," 33","ITS_1","Dactylella cylindrospora","1814901",37631996,NA,NA,"OK","reference_mean","1814901","1814901","47025","47021","189479","189478","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_124"," 25","ITS_1","Mucor moelleri","1302847",41020026.7698969,25274645.9661557,56713286.7202889,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1302847","1302847","4830","34489","4827","2212703","1913637","2759","33154","1",NA,"1344963","451507",NA,"4751",NA,NA
"query_125"," 23","ITS_1","Mortierella sp.","1715235",43485871.0389204,24353685.0904555,75925481.2311283,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1715235","1715235","4855","4854","214503","2212732","1913637","2759","33154","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_126"," 17","ITS_1","Alternaria japonica"," 119919",35616411.114355,30800821.2940574,41028191.9331962,"OK","bayesian Eukaryota","119919","119919","5598","28556","92860","147541","4890","2759","33154","1","451868","715340","147538","451864","4751",NA,"2499259"
"query_127"," 16","ITS_1","Paraconiothyrium sp.","1696682",39610373.8970928,26745358.5439851,58231883.7915393,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1696682","1696682","300251","221678","92860","147541","4890","2759","33154","1","451868","1255046","147538","451864","4751",NA,NA
"query_128"," 14","ITS_1","Serendipita vermifera"," 109899",35659833,35658975.1467128,35660690.8532872,"OK","reference_mean","109899","109899","358905","1506295","297313","155619","5204","2759","33154","1",NA,NA,"5302","451864","4751",NA,NA
"query_129"," 12","ITS_1","Chaetomium","   5149",34124069.7320604,27476325.5025075,41918376.9233095,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","5149",NA,"5149","35718","5139","147550","4890","2759","33154","1","222544",NA,"147538","451864","4751",NA,NA
"query_130"," 11","ITS_1","Pragmopora cf. piceae","2653547",48075667.259047,12085681.88908,126642573.830981,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2653547","2653547","2576843","2576842","2793949","147548","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_131"," 10","ITS_1","Coleophoma ericicola","1849048",45295241.0746273,23326597.6332324,82485948.9671308,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1849048","1849048","453209","76657","5178","147548","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_132","  9","ITS_1","Neonectria neomacrospora","  78403",37119747,NA,NA,"OK","reference_mean","78403","78403","140106","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_133","  9","ITS_1","Digitopodium cannae","2571989",32618707.9174499,21535293.3312252,47244300.3547132,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2571989","2571989","2571987","43219","34395","147545","4890","2759","33154","1","451870",NA,"147538","451864","4751",NA,NA
"query_134","  8","ITS_1","Clonostachys"," 110564",30166418.7201162,19198433.9475051,45584363.9799728,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","110564",NA,"110564","103887","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_135","  8","ITS_1","Saitozyma ninhbinhensis"," 388101",22434523.5841821,11794282.3445328,37385244.035059,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","388101","388101","1890244","1890237","5234","155616","5204","2759","33154","1",NA,NA,"5302","451864","4751",NA,NA
"query_136","  6","ITS_1","Entomortierella beljakovae"," 979673",37752271,NA,NA,"OK","reference_mean","979673","979673","2779859","4854","214503","2212732","1913637","2759","33154","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_137","  6","ITS_1","Articulospora proliferata"," 556895",44735441.0649707,22412404.984422,80199685.275514,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","556895","556895","253308","2794838","5178","147548","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_138","  6","ITS_1","Fusarium oxysporum","   5507",52804881.8126685,52804074.9162655,52805688.7090715,"OK","reference_mean","5507","5507","5506","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751","171631",NA
"query_139","  5","ITS_1","Ceratobasidium sp. FO 38200"," 386466",53189713.1665595,27794111.6644883,94831791.668423,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","386466","386466","5251","5250","36064","155619","5204","2759","33154","1",NA,NA,"5302","451864","4751",NA,NA
"query_140","  5","ITS_1","Mycena galopus","  41248",65328236.5606718,40139752.0286041,97717356.275633,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","41248","41248","41247","2024004","5338","155619","5204","2759","33154","1","452333","2982316","5302","451864","4751",NA,NA
"query_141","  5","ITS_1","Dominikia sp.","2011914",147777954.124801,49628898.6905448,307697027.622806,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2011914","2011914","1548385","36751","36750","214506","1913637","2759","33154","1",NA,NA,"214504",NA,"4751",NA,NA
"query_142","  5","ITS_1","Scutellospora sp.","1931098",125734245.718719,23454450.5036279,357191110.618311,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1931098","1931098","27382","36753","214509","214506","1913637","2759","33154","1",NA,NA,"214504",NA,"4751",NA,NA
"query_143","  5","ITS_1","Sarea sp.","2040954",41490861.2180646,6148626.45426259,152585332.151228,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2040954","2040954","273281","2820411","2820409","2820408","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_144","  5","ITS_1","Stropharia rugosoannulata","  68746",48751805.6666667,48750028.8103847,48753582.5229487,"OK","reference_mean","68746","68746","68745","40562","5338","155619","5204","2759","33154","1","452333","2982305","5302","451864","4751",NA,NA
"query_145","  4","ITS_1","Orbilia atlantis","1798097",40803589.4313003,25637323.7221542,63140220.8282759,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1798097","1798097","47022","47021","189479","189478","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_146","  4","ITS_1","Mortierellaceae","   4854",41816073.9612233,22106813.9562288,68904700.4853331,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","4854",NA,NA,"4854","214503","2212732","1913637","2759","33154","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_147","  4","ITS_1","Articulospora tetracladia"," 253309",41836098,NA,NA,"OK","reference_mean","253309","253309","253308","2794838","5178","147548","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_148","  4","ITS_1","Stagonospora pseudopaludosa","1414640",39282293.7065096,22259212.2310057,68892582.8673846,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1414640","1414640","54788","290882","92860","147541","4890","2759","33154","1","451868","1255046","147538","451864","4751",NA,NA
"query_149","  4","ITS_1","Allophylaria subliciformis","2478803",44637370.3369409,22541082.7310755,77842438.5825559,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2478803","2478803","2478802","2488219","5178","147548","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_150","  4","ITS_1","Pestalotiopsis mangiferae"," 748176",50863682.9904206,39138485.6482891,64557388.6523994,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","748176","748176","37840","1812776","37989","147550","4890","2759","33154","1","222545",NA,"147538","451864","4751",NA,NA
"query_151","313","16S_3","Acidobacteriaceae"," 204434",5508596.69483095,3082053.68242533,9156224.72235467,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","204434",NA,NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_152"," 88","16S_3","Bacillaceae"," 186817",3968444.70716571,2010854.41503388,6618207.65141279,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","186817",NA,NA,"186817","1385","91061","1239","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_153"," 79","16S_3","Actinoallomurus sp.","1872127",6436989.5,6435395.27921375,6438583.72078625,"OK","reference_mean","1872127","1872127","667113","2012","85012","1760","201174","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_154"," 78","16S_3","Mycobacterium","   1763",5685740.60210298,4280726.76508932,7307955.19037824,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","1763",NA,"1763","1762","85007","1760","201174","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_155"," 74","16S_3","Acidobacteriaceae bacterium","2052142",4004784.32805071,4004349.27978725,4005219.37631418,"OK","reference_mean","2052142","2052142",NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_156"," 45","16S_3","Opitutus sp.","1913982",3692303.48387097,3691345.64879904,3693261.31894289,"OK","reference_mean","1913982","1913982","178440","134623","415000","414999","74201","2","1783257","1",NA,NA,NA,NA,NA,NA,NA
"query_157"," 36","16S_3","Alloacidobacterium dinghuense","2763107",6271114,NA,NA,"OK","reference_mean","2763107","2763107","2951993","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_158"," 33","16S_3","Blastochloris","  59282",3952945.38706531,2818165.33962948,5413579.28961996,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","59282",NA,"59282","2831090","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_159"," 32","16S_3","bacterium Ellin5058"," 234245",5488257.26998725,2933409.04818117,9228572.5544376,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","234245","234245",NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_160"," 26","16S_3","Terracidiphilus gabretensis","1577687",5345618,NA,NA,"OK","reference_mean","1577687","1577687","1768185","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_161"," 25","16S_3","Gallionella sp.","2052161",2260661.58928571,2260177.9346786,2261145.24389283,"OK","reference_mean","2052161","2052161","96","90627","32003","28216","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_162"," 23","16S_3","Syntrophobacter wolinii","  29527",4857967.12245509,3458924.40033186,6443754.31589917,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","29527","29527","29526","213465","213462","3024408","200940","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_163"," 23","16S_3","Paenibacillus sp. 27-9"," 519770",6638646.81619909,4940110.57845339,8576734.97049376,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","519770","519770","44249","186822","1385","91061","1239","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_164"," 23","16S_3","Acidobacteriaceae bacterium LWQ3","1387378",5530003.85203293,3072260.9487299,9122040.70105701,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","1387378","1387378",NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_165"," 19","16S_3","unclassified Bradyrhizobium","2631580",8180389.85394367,6115075.84927357,10791349.6488107,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","2631580",NA,"374","41294","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_166"," 17","16S_3","Rhodoplanes","  29407",4358464.08570528,3145448.02243835,5863700.91558214,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","29407",NA,"29407","45401","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_167"," 15","16S_3","Ktedonobacter sp.","1932716",3676795.77777778,3675780.26971155,3677811.285844,"OK","reference_mean","1932716","1932716","363276","388449","388448","388447","200795","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_168"," 13","16S_3","Acidobacterium capsulatum","  33075",4627739.108069,3132895.44556812,6586678.61230977,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","33075","33075","33973","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_169"," 12","16S_3","Sideroxydans"," 314343",3364780.15411837,2306291.38308467,4628237.74173053,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","314343",NA,"314343","90627","32003","28216","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_170"," 12","16S_3","Rhodopila globiformis","   1071",7247838,NA,NA,"OK","reference_mean","1071","1071","1070","433","204441","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_171"," 12","16S_3","Granulicella sp.","1969471",3566997.38709677,3566339.71592445,3567655.0582691,"OK","reference_mean","1969471","1969471","940557","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_172"," 11","16S_3","unclassified Rhizomicrobium","2649895",4459462.60031428,3151497.95514154,6202853.2509927,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","2649895",NA,"1241326","1921568","1921567","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_173"," 11","16S_3","bacterium Ellin342"," 204668",5545239.79255183,3019987.1909362,9109871.81693622,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","204668","204668",NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_174"," 11","16S_3","Spirochaeta sp.","  28185",2788768.16666667,2787717.81107982,2789818.52225351,"OK","reference_mean","28185","28185","146","137","136","203692","203691","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_175"," 11","16S_3","Rhizomicrobium sp. URHD0049","1703066",4472124.07742308,3153378.21046568,6150961.21102852,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","1703066","1703066","1241326","1921568","1921567","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_176"," 10","16S_3","Trebonia kvetii","2480626",9254566,NA,NA,"OK","reference_mean","2480626","2480626","2767073","2767072","85012","1760","201174","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_177","  9","16S_3","Acidobacteriaceae bacterium KBS 89","1267534",6009792,NA,NA,"OK","reference_mean","1267534","1267534",NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_178","  9","16S_3","Flavitalea sp.","1909289",3975566.5,3974440.05489643,3976692.94510357,"OK","reference_mean","1909289","1909289","1210116","563835","1853229","1853228","976","2","1783270","1",NA,NA,NA,NA,NA,NA,NA
"query_179","  8","16S_3","Acidisphaera sp.","1872116",2896360.69565217,2895882.84331794,2896838.5479864,"OK","reference_mean","1872116","1872116","50714","433","204441","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_180","  8","16S_3","unclassified Telmatobacter","2634852",5811623.6280628,3713780.90113765,8342531.58947198,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","2634852",NA,"1078829","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
