"sample","estimated_genome_size","confidence_interval_lower","confidence_interval_upper","n_queries_used","n_queries_total","abundance_covered"
"16S_2",5645513.46157471,5126459.52399681,6252579.71294595,30,30,1
"16S_1",5246874.38459184,4467918.40762808,6331959.97690524,30,30,1
"ITS_3",40461301.819853,35844638.8702588,45728166.8311881,30,30,1
"ITS_2",37618456.9172947,32143500.0797273,44946815.8720045,30,30,1
"ITS_1",46433035.6846656,39997263.7587813,55711657.6846408,30,30,1
"16S_3",5795520.19102628,5097553.54585924,6741013.53135138,30,30,1
