COUNT	SAMPLE	SCIENTIFIC_NAME	TAXID
5	ITS_1	Scutellospora sp.	1931098
5	ITS_1	Sarea sp.	2040954
5	ITS_1	Stropharia rugosoannulata	68746
4	ITS_1	Orbilia atlantis	1798097
4	ITS_1	Mortierellaceae	4854
4	ITS_1	Articulospora tetracladia	253309
4	ITS_1	Stagonospora pseudopaludosa	1414640
4	ITS_1	Allophylaria subliciformis	2478803
4	ITS_1	Pestalotiopsis mangiferae	748176
313	16S_3	Acidobacteriaceae	204434
88	16S_3	Bacillaceae	186817
79	16S_3	Actinoallomurus sp.	1872127
78	16S_3	Mycobacterium	1763
74	16S_3	Acidobacteriaceae bacterium	2052142
45	16S_3	Opitutus sp.	1913982
36	16S_3	Alloacidobacterium dinghuense	2763107
33	16S_3	Blastochloris	59282
32	16S_3	bacterium Ellin5058	234245
26	16S_3	Terracidiphilus gabretensis	1577687
25	16S_3	Gallionella sp.	2052161
23	16S_3	Syntrophobacter wolinii	29527
23	16S_3	Paenibacillus sp. 27-9	519770
23	16S_3	Acidobacteriaceae bacterium LWQ3	1387378
19	16S_3	unclassified Bradyrhizobium	2631580
17	16S_3	Rhodoplanes	29407
15	16S_3	Ktedonobacter sp.	1932716
13	16S_3	Acidobacterium capsulatum	33075
12	16S_3	Sideroxydans	314343
12	16S_3	Rhodopila globiformis	1071
12	16S_3	Granulicella sp.	1969471
11	16S_3	unclassified Rhizomicrobium	2649895
11	16S_3	bacterium Ellin342	204668
11	16S_3	Spirochaeta sp.	28185
11	16S_3	Rhizomicrobium sp. URHD0049	1703066
10	16S_3	Trebonia kvetii	2480626
9	16S_3	Acidobacteriaceae bacterium KBS 89	1267534
9	16S_3	Flavitalea sp.	1909289
8	16S_3	Acidisphaera sp.	1872116
8	16S_3	unclassified Telmatobacter	2634852
