"","ASVs","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_1158","ASV_1158","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA
"ASV_1163","ASV_1163","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Belnapia"
"ASV_1164","ASV_1164","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Oceanobacillus"
"ASV_1180","ASV_1180","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",NA
"ASV_1189","ASV_1189","Bacteria","Acidobacteria","Acidobacteria_Gp1",NA,NA,NA
"ASV_1190","ASV_1190","Bacteria","Acidobacteria","Acidobacteria_Gp1","Granulicella",NA,NA
"ASV_1202","ASV_1202","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA
"ASV_1208","ASV_1208","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",NA
"ASV_1209","ASV_1209","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA
"ASV_1211","ASV_1211","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Geobacillus"
"ASV_1213","ASV_1213","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Dankookia"
"ASV_1215","ASV_1215","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV_1217","ASV_1217","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"ASV_1218","ASV_1218","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"ASV_1219","ASV_1219","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ASV_1220","ASV_1220","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA
"ASV_1231","ASV_1231","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA
"ASV_1236","ASV_1236","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"ASV_1245","ASV_1245","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA
"ASV_1246","ASV_1246","Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Armatimonadaceae","Armatimonas/Armatimonadetes_gp1"
"ASV_1259","ASV_1259","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_1262","ASV_1262","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Novosphingobium"
"ASV_1265","ASV_1265","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Microvirga"
"ASV_1266","ASV_1266","Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Dietziaceae","Dietzia"
"ASV_1269","ASV_1269","Bacteria","Verrucomicrobia",NA,NA,NA,NA
"ASV_1270","ASV_1270","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingosinicellaceae","Polymorphobacter"
"ASV_1282","ASV_1282","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter"
"ASV_1283","ASV_1283","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
